Nombre; Tamaño input; Tamaño output;Tamaño esperado; Ratio de compresión; Entropia; Entropia real;
a.txt; 3 MB; 412 KB; 411 KB;12,75;0,160;1,020;
adn.txt; 48 KB; 14 KB; 13 KB;29,00;2,154;2,320;
elquijote.txt; 1 MB; 569 KB; 567 KB;54,89;4,334;4,392;
cebras.bmp; 5 MB; 4 MB; 4 MB;72,55;5,779;5,804;
cebras.jpg; 277 KB; 283 KB; 277 KB;102,14;7,984;8,171;
Conill_1MB.mp4; 1022 KB; 1 MB; 1022 KB;100,57;7,996;8,046;
Conill_2MB.mp4; 1 MB; 2 MB; 1 MB;100,30;7,999;8,024;
Conill_5MB.mp4; 4 MB; 5 MB; 4 MB;100,12;8,000;8,010;
Conill_10MB.mp4; 9 MB; 10 MB; 9 MB;100,06;8,000;8,005;
Conill_20MB.mp4; 19 MB; 20 MB; 19 MB;100,03;8,000;8,002;
Conill_30MB.mp4; 29 MB; 29 MB; 29 MB;100,02;8,000;8,002;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
